entrez_id,logFC,PValue,,
55966,-5.807880869,1.37E-13,,
56163,-7.376271225,1.52E-13,,
11275,-2.807503412,1.67E-13,,
60495,-6.220999651,1.80E-13,,
55504,4.628177812,1.81E-13,,
114792,-6.019867454,1.83E-13,,
23149,-4.607286616,1.90E-13,,
3976,8.6024862,1.90E-13,,
130399,-6.49325274,1.99E-13,,
83990,5.088908745,2.03E-13,,
933,-7.846956489,2.10E-13,,
3765,-4.042844022,2.17E-13,,
10382,-5.91255172,2.24E-13,,
1978,4.190460542,2.30E-13,,
20,-4.938067102,2.55E-13,,
4060,4.898052208,2.66E-13,,
84084,-7.831731437,2.74E-13,,
84440,-4.352362892,2.77E-13,,
54033,-6.505313335,2.79E-13,,
6608,3.710300943,3.34E-13,,
10460,4.555660637,3.43E-13,,
8471,-6.591822633,3.52E-13,,
57554,-7.824331012,3.78E-13,,
64714,-5.291753415,3.95E-13,,
84733,4.395311384,4.06E-13,,
55247,5.668527719,4.13E-13,,
3915,4.31841333,4.19E-13,,
375612,3.35113771,4.41E-13,,
4099,-10.09727126,5.92E-13,,
23397,4.533709076,6.07E-13,,
79641,-3.018807147,6.66E-13,,
5806,7.073860774,6.89E-13,,
3576,6.79235706,6.94E-13,,
23704,5.235571082,7.60E-13,,
481,-4.03276859,7.80E-13,,
401474,-4.756993955,8.07E-13,,
3037,4.690303989,8.13E-13,,
283431,4.675385393,8.17E-13,,
79804,9.623518805,8.84E-13,,
56521,-3.544716905,9.24E-13,,
51062,-3.211892952,9.38E-13,,
4071,3.594181399,9.48E-13,,
26249,-3.193761343,1.02E-12,,
57460,-4.114194676,1.03E-12,,
9052,5.262832588,1.08E-12,,
79993,-4.864431126,1.16E-12,,
389,3.367471665,1.36E-12,,
5818,-3.222996482,1.36E-12,,
2359,6.983781277,1.46E-12,,
101927459,-12.27272863,1.51E-12,,
388403,-3.624926544,1.61E-12,,
5567,-3.07686519,1.62E-12,,
26051,-6.018903258,1.84E-12,,
3225,9.791127927,1.90E-12,,
8701,3.646584576,1.92E-12,,
2494,7.447952509,2.28E-12,,
11155,-8.412807857,2.35E-12,,
57644,-4.585451341,2.55E-12,,
158135,-3.595357966,2.77E-12,,
57221,-3.172554412,2.85E-12,,
374946,5.632758159,2.95E-12,,
1278,5.667650165,3.42E-12,,
2913,-5.781719574,3.61E-12,,
4811,4.112163158,3.84E-12,,
157570,4.910770241,3.85E-12,,
220042,4.268885532,4.23E-12,,
60484,-6.271463957,4.31E-12,,
1903,3.9751267,4.47E-12,,
1393,-6.586283443,4.74E-12,,
7837,4.509374573,4.76E-12,,
5334,-5.098856668,4.80E-12,,
1133,-7.006916622,4.82E-12,,
60681,4.226998908,4.83E-12,,
57537,-4.012201273,4.85E-12,,
151887,3.993921165,5.19E-12,,
90853,5.946880713,5.42E-12,,
22891,-4.060307096,5.46E-12,,
54511,-8.758612254,5.58E-12,,
27296,-7.977744249,5.65E-12,,
4001,4.47499817,5.91E-12,,
59,5.080733409,6.15E-12,,
9911,-3.905019129,6.28E-12,,
3226,9.640244626,6.48E-12,,
161725,-4.57939905,6.74E-12,,
92369,4.898258485,7.09E-12,,
4072,-4.930094441,8.22E-12,,
84504,-8.966551795,8.34E-12,,
11326,4.687745452,8.67E-12,,
4336,-11.54368006,9.36E-12,,
90381,6.308804603,1.04E-11,,
3913,3.167798295,1.06E-11,,
105375304,4.106478928,1.27E-11,,
128218,-10.12843775,1.30E-11,,
768,8.721507807,1.31E-11,,
55356,-5.486232155,1.33E-11,,
4155,-8.540917183,1.34E-11,,
333,-5.447212644,1.37E-11,,
22802,-10.44724335,1.45E-11,,
93185,-2.81610899,1.54E-11,,
2149,5.858786712,1.55E-11,,
221294,-5.048203145,1.61E-11,,
301,4.973802622,1.67E-11,,
23460,-6.156144389,2.17E-11,,
11117,4.099646767,2.29E-11,,
11130,4.000167172,2.38E-11,,
23031,-4.455229389,2.44E-11,,
79885,-3.594895065,2.64E-11,,
100302640,-3.33235959,2.82E-11,,
5522,-6.472746946,2.90E-11,,
2146,4.688150014,3.07E-11,,
2028,5.516752279,3.21E-11,,
4313,3.630425934,3.32E-11,,
9332,6.032313403,3.34E-11,,
3224,8.439496139,3.46E-11,,
56992,4.707099806,3.54E-11,,
3910,3.23682542,4.00E-11,,
101929595,-6.184913223,4.13E-11,,
27286,5.365061559,4.35E-11,,
83714,-5.723229002,4.38E-11,,
83903,4.966210734,4.67E-11,,
6262,-7.528261876,5.02E-11,,
6622,-5.746599407,5.15E-11,,
9951,-8.207096513,5.25E-11,,
119391,-4.157153248,5.81E-11,,
29923,4.00197777,5.89E-11,,
10085,-7.29509194,6.05E-11,,
85236,3.068516137,6.49E-11,,
1080,-8.51958174,6.54E-11,,
4958,-5.04485455,7.00E-11,,
3227,9.826592652,7.17E-11,,
105369203,5.66540646,7.35E-11,,
79801,3.862489558,7.36E-11,,
5168,-7.430560665,7.36E-11,,
5888,4.377352653,7.54E-11,,
6495,6.084440602,7.71E-11,,
3676,4.191605976,7.71E-11,,
1017,4.153725257,8.20E-11,,
5118,4.971942285,8.56E-11,,
348487,-4.695026768,8.61E-11,,
116362,-6.943098505,8.77E-11,,
23224,2.84879067,8.99E-11,,
3213,9.073251437,9.45E-11,,
10507,-5.146738124,1.01E-10,,
341640,3.921183316,1.04E-10,,
3310,4.488406508,1.04E-10,,
114876,-2.891763234,1.07E-10,,
140803,-6.473335916,1.11E-10,,
5803,3.602922644,1.16E-10,,
4199,-3.856390915,1.20E-10,,
10982,-2.630191389,1.21E-10,,
3006,2.884109775,1.22E-10,,
1995,-2.826312685,1.27E-10,,
3955,4.426842542,1.30E-10,,
929,3.892009089,1.39E-10,,
9252,-3.773250334,1.58E-10,,
27197,6.761904242,1.61E-10,,
55243,4.895126741,1.70E-10,,
5241,-4.756927126,1.70E-10,,
169611,4.287600443,1.71E-10,,
729359,-3.532377544,1.73E-10,,
3205,11.77995076,1.83E-10,,
143879,-2.825465959,1.84E-10,,
26499,7.182504611,1.97E-10,,
6457,-8.139025162,1.98E-10,,
11013,6.822590301,2.22E-10,,
4323,4.654532607,2.23E-10,,
4069,4.839526166,2.25E-10,,
8614,4.875895833,2.28E-10,,
57165,-5.356316676,2.28E-10,,
145282,-4.222821356,2.29E-10,,
283999,-8.929271486,2.29E-10,,
92312,4.599112936,2.30E-10,,
1063,5.574367879,2.55E-10,,
9902,3.27085422,2.59E-10,,
3199,7.758322168,2.63E-10,,
10485,2.662689757,2.66E-10,,
150771,4.05285093,2.73E-10,,
10205,5.741178862,2.75E-10,,
5653,-9.651979176,2.83E-10,,
219539,-4.008096866,2.93E-10,,
143503,6.175826309,3.04E-10,,
653604,4.447690808,3.08E-10,,
5630,7.233467517,3.10E-10,,
64901,-4.336605713,3.14E-10,,
55314,-6.964805634,3.21E-10,,
54751,4.951447387,3.22E-10,,
5046,-7.594620439,3.25E-10,,
221150,4.453358187,3.42E-10,,
54504,3.951909289,3.45E-10,,
101929074,6.505942435,3.48E-10,,
8365,2.945516741,3.55E-10,,
92291,-7.10742423,3.73E-10,,
85458,-3.17994381,3.73E-10,,
5860,-4.054582541,3.76E-10,,
768206,-5.251051404,3.86E-10,,
56995,-2.629323971,4.03E-10,,
10411,-3.638433064,4.04E-10,,
3678,3.858424369,4.31E-10,,
322,-2.526430954,4.39E-10,,
100996301,9.526459246,4.49E-10,,
56256,-4.398426379,4.50E-10,,
6474,8.346129657,4.77E-10,,
83698,-6.694169901,5.08E-10,,
111,-3.390810161,5.33E-10,,
182,4.471899393,5.36E-10,,
9055,3.587149154,5.69E-10,,
25806,4.594064489,5.74E-10,,
675,4.104627679,5.75E-10,,
7020,5.47069442,5.82E-10,,
100505576,-4.747049489,5.85E-10,,
5228,5.007085736,5.86E-10,,
3672,3.569682566,6.10E-10,,
23166,4.208683253,6.19E-10,,
64411,3.316203511,6.32E-10,,
55323,-3.5472065,6.36E-10,,
115584,-8.487800498,6.70E-10,,
79739,-3.974817961,6.71E-10,,
9651,-5.341769187,6.88E-10,,
641,3.355545565,6.97E-10,,
2770,-4.236133682,7.14E-10,,
9771,-4.741736856,7.74E-10,,
2700,7.588028346,7.97E-10,,
4171,3.020660628,8.06E-10,,
57709,-6.382232286,8.44E-10,,
100131320,-7.17765205,8.50E-10,,
4481,3.64266916,8.92E-10,,
1955,-2.965551873,8.99E-10,,
274,-3.428104482,9.00E-10,,
9824,3.70320204,9.03E-10,,
3426,5.43375363,9.35E-10,,
55273,4.209560419,9.37E-10,,
4340,-9.838319913,9.38E-10,,
347735,4.369171291,9.43E-10,,
5730,-6.410385327,9.60E-10,,
4320,4.052201014,9.78E-10,,
4998,4.799939094,1.03E-09,,
116496,4.203306451,1.05E-09,,
374986,-2.90500518,1.05E-09,,
158399,-3.525535042,1.06E-09,,
9976,4.033563674,1.06E-09,,
3800,-2.705236793,1.11E-09,,
5414,-5.756076328,1.13E-09,,
1192,4.419913366,1.17E-09,,
2775,-3.89171135,1.19E-09,,
222166,-4.633388413,1.21E-09,,
9625,-5.444856239,1.33E-09,,
10150,-3.574175998,1.37E-09,,
7018,-6.661644625,1.38E-09,,
1284,5.862774144,1.41E-09,,
29015,3.507032423,1.46E-09,,
55861,-5.984338181,1.54E-09,,
121256,-8.172631919,1.54E-09,,
387758,3.12603736,1.58E-09,,
80303,-5.480804232,1.64E-09,,
8999,-6.138540205,1.68E-09,,
7045,6.881583712,1.71E-09,,
283848,-6.003831737,1.72E-09,,
2113,3.005933172,1.73E-09,,
123606,-3.540072298,1.74E-09,,
50940,-6.159194573,1.79E-09,,
26082,5.327625894,1.88E-09,,
4327,6.97009667,1.91E-09,,
30008,3.020000943,1.92E-09,,
2894,-2.796688658,1.94E-09,,
5327,4.804646741,1.99E-09,,
977,4.125024782,2.10E-09,,
10926,3.038651335,2.11E-09,,
55010,3.101472288,2.17E-09,,
81930,4.87358882,2.34E-09,,
100507140,-6.973184821,2.34E-09,,
4854,3.510256629,2.40E-09,,
1052,3.47327754,2.45E-09,,
57142,-2.603968288,2.46E-09,,
54510,3.169109993,2.83E-09,,
791114,-6.914570953,2.90E-09,,
2882,2.898401986,2.93E-09,,
8970,3.408429821,2.99E-09,,
3488,2.901522073,3.00E-09,,
102524628,-5.342256999,3.16E-09,,
101930421,-8.67283483,3.24E-09,,
157506,3.387423069,3.27E-09,,
10314,-3.382186618,3.29E-09,,
57475,-4.886909174,3.31E-09,,
222698,-3.947624244,3.39E-09,,
4036,-8.192764392,3.40E-09,,
3233,9.163729762,3.42E-09,,
9467,-2.649271459,3.50E-09,,
57698,-4.849748246,3.54E-09,,
6579,-7.771124236,3.81E-09,,
22875,-5.254377794,3.84E-09,,
23136,-3.868600602,3.84E-09,,
23242,-2.874102708,3.85E-09,,
3832,3.416203508,3.87E-09,,
5354,-7.414623848,3.94E-09,,
7881,-5.189430902,4.06E-09,,
6452,2.531245342,4.24E-09,,
286411,-5.888338938,4.31E-09,,
203190,-6.884815894,4.39E-09,,
11167,3.538114005,4.39E-09,,
4969,-4.080397641,4.42E-09,,
85360,3.38616542,4.47E-09,,
4833,2.837683839,4.59E-09,,
63827,2.759057563,4.63E-09,,
79845,3.692098112,4.75E-09,,
55603,3.027814741,4.75E-09,,
56662,6.436353321,4.81E-09,,
83461,3.417463935,4.92E-09,,
121457,3.162744483,5.01E-09,,
10110,-5.396898741,5.06E-09,,
9899,-8.23773269,5.08E-09,,
64943,3.170981414,5.14E-09,,
100129543,3.385243061,5.45E-09,,
5305,-5.016185656,5.48E-09,,
64778,2.793060471,5.91E-09,,
80005,-5.909463808,5.92E-09,,
6659,3.96163743,6.10E-09,,
10841,-3.930144493,6.23E-09,,
5590,-3.068133404,6.24E-09,,
2060,-2.442016623,6.39E-09,,
55789,3.317481694,6.40E-09,,
221061,-2.861750594,6.51E-09,,
9627,3.269228315,6.67E-09,,
54,4.292677339,6.73E-09,,
220108,-5.533935827,7.50E-09,,
64077,-3.871096378,7.60E-09,,
7757,-5.137232179,7.89E-09,,
7004,4.349246904,8.06E-09,,
6472,2.746756577,8.10E-09,,
9540,4.533367415,8.14E-09,,
5129,-4.921060468,8.14E-09,,
259232,-3.363105174,8.24E-09,,
118442,-8.228128835,8.39E-09,,
100289650,-6.600624448,8.78E-09,,
389072,-2.310699875,8.99E-09,,
64798,-5.021133222,9.45E-09,,
285555,-4.109209448,9.73E-09,,
150209,-4.600813605,1.00E-08,,
1277,6.582629772,1.01E-08,,
1909,3.839036267,1.02E-08,,
57185,-4.435422392,1.05E-08,,
4303,-3.193919273,1.05E-08,,
1293,6.959460114,1.06E-08,,
10733,3.057491974,1.08E-08,,
8502,-2.989971137,1.12E-08,,
83719,-2.410252799,1.13E-08,,
59084,-5.642990106,1.14E-08,,
666,-5.384788479,1.16E-08,,
340419,-6.228193298,1.19E-08,,
8632,-6.716578709,1.20E-08,,
23492,-3.060748942,1.22E-08,,
4838,5.730311831,1.24E-08,,
3381,8.056107743,1.25E-08,,
9582,6.92359794,1.25E-08,,
100124700,11.0535257,1.27E-08,,
3280,3.029728985,1.28E-08,,
25790,4.019905599,1.28E-08,,
10052,4.167076307,1.28E-08,,
6664,5.190489342,1.32E-08,,
9123,3.074889248,1.35E-08,,
9735,2.474083881,1.38E-08,,
9644,-3.199287633,1.44E-08,,
5831,3.128759848,1.56E-08,,
4239,5.668346704,1.57E-08,,
8692,2.616785568,1.59E-08,,
115701,7.347729878,1.63E-08,,
771,6.70365125,1.67E-08,,
85445,-7.045919644,1.69E-08,,
150590,-3.591633794,1.69E-08,,
133584,5.25433027,1.80E-08,,
401548,-2.316598412,1.81E-08,,
255187,-5.783143149,1.82E-08,,
100874362,6.489384209,1.83E-08,,
2705,-7.03357956,1.88E-08,,
29941,3.450582395,1.92E-08,,
1164,3.566712415,1.92E-08,,
145864,4.35957146,1.96E-08,,
56245,6.624021043,1.99E-08,,
388650,-2.66259962,2.11E-08,,
11226,-5.119169726,2.12E-08,,
163175,-3.505258786,2.17E-08,,
2123,-5.82753714,2.20E-08,,
80119,4.912549099,2.22E-08,,
79628,-6.134846216,2.25E-08,,
54210,6.721136331,2.31E-08,,
79789,-4.679273751,2.34E-08,,
57520,-2.281370398,2.36E-08,,
525,5.183864021,2.40E-08,,
5158,-4.366516121,2.42E-08,,
10529,-4.203780844,2.47E-08,,
140876,3.947523054,2.49E-08,,
23348,-3.419246548,2.53E-08,,
9021,5.841152164,2.54E-08,,
3161,3.789550391,2.63E-08,,
51090,-5.140954643,2.69E-08,,
6373,8.169668488,2.70E-08,,
152926,-2.115026789,2.71E-08,,
11270,3.34800649,2.72E-08,,
1780,-5.073915518,2.75E-08,,
59338,-2.77724476,3.12E-08,,
83875,-3.239244907,3.18E-08,,
57462,-2.748041836,3.20E-08,,
151648,5.610927455,3.22E-08,,
5480,3.662315844,3.24E-08,,
5910,-2.162519389,3.25E-08,,
1124,-3.765082203,3.34E-08,,
283987,-3.07104617,3.37E-08,,
4233,-4.224619728,3.37E-08,,
7412,4.341651957,3.39E-08,,
10420,-4.023038684,3.40E-08,,
55450,-2.856681156,3.42E-08,,
222223,-4.283912213,3.43E-08,,
5796,-2.723389703,3.44E-08,,
9705,-6.77139345,3.47E-08,,
7057,4.863560149,3.47E-08,,
84962,4.829674249,3.52E-08,,
2300,5.297794308,3.62E-08,,
57124,4.892763187,3.63E-08,,
54809,2.576343089,3.68E-08,,
51176,2.591684783,3.70E-08,,
3234,10.67122938,3.75E-08,,
151174,-4.43891639,3.78E-08,,
11174,3.231053435,3.82E-08,,
342035,-5.730388592,3.93E-08,,
55647,3.404897337,4.17E-08,,
83592,-3.663692623,4.20E-08,,
81031,3.185018343,4.21E-08,,
58473,-4.034184562,4.28E-08,,
103689912,5.63779709,4.31E-08,,
7164,-3.322120202,4.36E-08,,
5318,-5.591120223,4.37E-08,,
27022,8.943641608,4.43E-08,,
5136,-5.622584978,4.51E-08,,
83871,3.305646652,4.52E-08,,
7132,2.781182396,4.60E-08,,
9046,4.519263751,4.66E-08,,
24139,-2.89882519,4.71E-08,,
9728,-3.281275683,4.87E-08,,
285800,-5.359158615,5.03E-08,,
5396,2.753826566,5.15E-08,,
699,4.925072633,5.31E-08,,
7163,-2.50712094,5.35E-08,,
56904,-2.076061172,5.46E-08,,
3198,4.726322295,5.47E-08,,
541468,-2.70976623,5.49E-08,,
3013,3.717268427,5.72E-08,,
283849,5.57866634,5.82E-08,,
100129794,-5.248241095,5.90E-08,,
7079,3.56597266,5.93E-08,,
253982,-4.845693668,5.97E-08,,
2036,-2.797642947,5.99E-08,,
3690,4.166947798,6.13E-08,,
151647,-7.322345588,6.21E-08,,
26271,2.852492018,6.22E-08,,
7105,3.14201061,6.41E-08,,
26047,-6.620701214,6.57E-08,,
29028,2.534835445,6.61E-08,,
6844,-2.924488177,6.77E-08,,
8654,2.761456683,7.37E-08,,
346389,4.57099035,7.43E-08,,
10135,3.027839086,7.53E-08,,
400451,-2.812899013,7.55E-08,,
3383,4.194055595,7.96E-08,,
163223,-5.283437946,8.12E-08,,
80329,5.421791308,8.12E-08,,
23500,-4.821217444,8.13E-08,,
81624,4.208142882,8.17E-08,,
23440,8.912130898,8.23E-08,,
9853,-2.598213124,8.42E-08,,
374654,2.656576523,8.74E-08,,
7044,5.9458204,8.82E-08,,
80381,3.004708137,8.88E-08,,
10512,-3.44046984,9.00E-08,,
9768,4.102047981,9.18E-08,,
10797,2.629863981,9.25E-08,,
2263,-4.082602684,9.33E-08,,
3212,10.23303836,9.42E-08,,
51148,-4.035475628,9.51E-08,,
25834,-5.377688281,9.74E-08,,
221458,-7.088181865,9.85E-08,,
3371,4.471279511,1.00E-07,,
1289,4.089730474,1.01E-07,,
10170,-4.540870459,1.01E-07,,
6790,2.934164487,1.01E-07,,
1062,3.288941013,1.01E-07,,
283078,-7.640176195,1.02E-07,,
961,-2.08759051,1.07E-07,,
8840,6.417962968,1.08E-07,,
2121,2.655217476,1.08E-07,,
23145,-3.611095603,1.10E-07,,
5932,2.376216574,1.14E-07,,
5178,-2.821833864,1.14E-07,,
645784,-4.780054692,1.18E-07,,
124602,-5.758685977,1.21E-07,,
246777,-3.653760602,1.22E-07,,
5588,-5.294876494,1.24E-07,,
387590,-7.191954962,1.24E-07,,
79172,2.364936534,1.26E-07,,
8795,3.670873287,1.28E-07,,
2014,4.571567381,1.29E-07,,
53637,-6.548905076,1.30E-07,,
5696,3.21288145,1.31E-07,,
256435,-4.474755424,1.31E-07,,
84125,-3.442032552,1.32E-07,,
83872,3.772783983,1.33E-07,,
2177,3.310302325,1.34E-07,,
288,-4.820747636,1.37E-07,,
23764,3.273449148,1.38E-07,,
2995,3.289959542,1.38E-07,,
163255,-2.788462385,1.39E-07,,
23022,2.676561567,1.40E-07,,
170954,2.487296196,1.42E-07,,
22822,2.621928002,1.44E-07,,
94274,-5.097290458,1.46E-07,,
147906,-2.158931628,1.47E-07,,
10265,5.797157065,1.48E-07,,
9517,-3.378287025,1.49E-07,,
196410,4.963196948,1.50E-07,,
124976,-2.626673198,1.51E-07,,
146691,-2.155351809,1.54E-07,,
4828,3.46598525,1.59E-07,,
115704,-2.078526675,1.61E-07,,
3207,9.734587952,1.62E-07,,
8633,-5.533436089,1.62E-07,,
4815,-5.47965487,1.67E-07,,
6444,-6.363785957,1.68E-07,,
341,2.94997685,1.71E-07,,
131578,9.209421788,1.71E-07,,
825,-4.270939816,1.71E-07,,
54899,-4.411248631,1.72E-07,,
23287,-3.617311917,1.81E-07,,
9837,3.32975476,1.82E-07,,
9363,-3.501465085,1.88E-07,,
6440,-5.653154732,1.90E-07,,
9472,-2.307404512,1.91E-07,,
285,5.10105322,1.92E-07,,
4642,-4.46016056,1.97E-07,,
94031,4.128952612,1.98E-07,,
55038,2.795721659,2.00E-07,,
1104,2.660771718,2.02E-07,,
890,2.981678961,2.04E-07,,
113451,-2.996552072,2.04E-07,,
1137,-4.216215368,2.04E-07,,
254778,-2.366867219,2.05E-07,,
3101,4.857020389,2.13E-07,,
3491,3.546336099,2.16E-07,,
283455,-6.99220442,2.18E-07,,
85363,2.9329592,2.18E-07,,
283120,10.54199939,2.20E-07,,
1894,2.678823625,2.23E-07,,
6187,2.076837785,2.23E-07,,
51776,2.371908263,2.23E-07,,
10804,-6.353994193,2.25E-07,,
51196,2.497196168,2.26E-07,,
6900,-7.046590032,2.26E-07,,
3627,6.67452637,2.31E-07,,
3490,4.072596021,2.41E-07,,
23564,2.442525251,2.47E-07,,
22974,4.833716615,2.49E-07,,
285780,-9.028028642,2.51E-07,,
2151,5.385996252,2.53E-07,,
781,-4.11268383,2.53E-07,,
51338,3.916900912,2.64E-07,,
7516,3.164508673,2.71E-07,,
400961,-6.258243251,2.71E-07,,
55182,-2.513568997,2.78E-07,,
8605,-2.716310667,2.80E-07,,
220965,-3.76522622,2.80E-07,,
9260,3.167107314,2.82E-07,,
4017,4.267213499,2.89E-07,,
653082,-3.306381564,2.90E-07,,
10783,2.642998995,2.90E-07,,
79152,-7.819271967,2.90E-07,,
9671,-6.734456097,2.95E-07,,
492311,-2.300493287,3.05E-07,,
