entrez_id,symbol,logFC,logCPM,LR,p_value,FDR
7153,TOP2A,9.666760909,7.752499804,164.6050366,1.12E-37,1.68E-33
51555,PEX5L,-9.08717821,8.689402952,160.0704751,1.09E-36,8.20E-33
6241,RRM2,8.980118778,5.742993443,153.5972566,2.84E-35,1.42E-31
386618,KCTD4,-9.286326423,4.363959509,153.0293528,3.77E-35,1.42E-31
26289,AK5,-8.663425387,7.66172249,126.408,2.50E-29,7.52E-26
9928,KIF14,7.244726133,4.805553755,121.6978237,2.69E-28,6.73E-25
9787,DLGAP5,9.412290636,4.657839485,115.4040354,6.42E-27,1.38E-23
55355,HJURP,9.137332615,3.680758559,113.4676475,1.70E-26,3.20E-23
10643,IGF2BP3,5.809467155,5.976311742,107.4010151,3.64E-25,5.99E-22
54478,PIMREG,8.604476496,4.113742488,107.0525279,4.34E-25,5.99E-22
10403,NDC80,7.706187128,4.143172798,107.0290731,4.39E-25,5.99E-22
64168,NECAB1,-6.33937226,7.99152724,104.067544,1.96E-24,2.45E-21
8329,HIST1H2AI,7.184999277,5.075288904,103.7781641,2.26E-24,2.62E-21
51514,DTL,6.026112304,4.314258024,102.8735671,3.57E-24,3.73E-21
8437,RASAL1,-8.107848267,4.777811157,102.7891979,3.73E-24,3.73E-21
93377,OPALIN,-13.20532611,8.317218326,101.603552,6.78E-24,6.37E-21
9700,ESPL1,7.977489036,3.687763341,100.5291814,1.17E-23,1.03E-20
4318,MMP9,10.61057098,3.806453141,99.94974681,1.56E-23,1.30E-20
5328,PLAU,6.109284993,5.083914004,99.09474735,2.41E-23,1.90E-20
7465,WEE1,5.536971069,5.382202636,98.90354912,2.65E-23,1.99E-20
55872,PBK,8.239350111,4.70335926,97.63972593,5.02E-23,3.59E-20
374393,FAM111B,6.905790213,3.775057629,97.18715015,6.31E-23,4.16E-20
4605,MYBL2,10.58032117,3.779519962,97.17013729,6.36E-23,4.16E-20
4288,MKI67,7.918379084,6.551220752,96.95356708,7.10E-23,4.44E-20
51330,TNFRSF12A,7.137350522,4.657440384,96.71434426,8.01E-23,4.81E-20
3775,KCNK1,-7.438114446,4.961526873,95.79747858,1.27E-22,7.35E-20
3236,HOXD10,12.51451787,3.558581116,95.71544864,1.33E-22,7.38E-20
9717,SEC14L5,-7.930244689,6.176175374,95.55910391,1.44E-22,7.70E-20
64151,NCAPG,6.879346407,5.112413229,94.68175182,2.24E-22,1.16E-19
134548,SOWAHA,-6.123695362,4.716982839,94.59301769,2.34E-22,1.17E-19
10112,KIF20A,8.572044153,4.450592048,94.33853726,2.66E-22,1.29E-19
154215,NKAIN2,-10.41828688,6.702137797,93.0536215,5.09E-22,2.39E-19
2305,FOXM1,7.413062393,4.161615108,92.51352146,6.69E-22,3.04E-19
10630,PDPN,4.780937922,6.632463714,91.33736035,1.21E-21,5.35E-19
9833,MELK,8.026372294,4.194769208,91.19665666,1.30E-21,5.58E-19
8318,CDC45,7.675504006,2.918529683,88.58743334,4.86E-21,2.03E-18
282973,JAKMIP3,-5.85655089,4.998753954,88.23084948,5.82E-21,2.37E-18
57082,KNL1,6.172362389,5.627178923,88.06124768,6.35E-21,2.51E-18
24137,KIF4A,6.651396225,4.794591546,87.10542877,1.03E-20,3.96E-18
51512,GTSE1,6.346389617,3.595234649,86.72994189,1.24E-20,4.67E-18
55388,MCM10,7.935830757,3.464569728,86.07030391,1.74E-20,6.36E-18
51203,NUSAP1,6.689413406,5.905597752,85.90986891,1.88E-20,6.74E-18
701,BUB1B,5.863759848,4.83435963,84.64343249,3.57E-20,1.25E-17
7076,TIMP1,5.90906331,5.586955099,84.32281634,4.20E-20,1.43E-17
7422,VEGFA,5.64297045,9.468772668,83.89576421,5.22E-20,1.74E-17
3007,HIST1H1D,4.895047631,5.991390044,83.80668297,5.46E-20,1.78E-17
10788,IQGAP2,5.719855063,6.162764821,83.22295761,7.33E-20,2.30E-17
