entrez_id,logFC,PValue
148534,-3.41968002,4.85E-07
4675,-2.151692542,4.97E-07
4900,-4.735781764,5.02E-07
2170,-2.50664306,5.04E-07
7164,-2.747718836,5.07E-07
54899,-1.894883352,5.12E-07
26580,-4.978477143,5.13E-07
1428,-5.181377083,5.33E-07
323,-2.071017921,5.55E-07
56990,-1.300478612,5.56E-07
26289,-4.379429896,5.62E-07
64168,-4.430617458,5.80E-07
818,-2.191519403,5.93E-07
9738,-1.54824044,6.03E-07
4974,-3.798422032,6.04E-07
79712,-1.74529231,6.21E-07
6457,-5.081674582,6.56E-07
143098,-3.388054984,6.59E-07
57282,-4.768498258,6.60E-07
11328,1.250264264,6.61E-07
57030,-5.382656125,6.69E-07
27133,-4.32027729,6.80E-07
114800,-4.214424826,6.89E-07
2222,-1.71871064,7.09E-07
83849,-3.60501481,7.51E-07
8774,-1.492748586,7.78E-07
90271,-1.755377019,7.79E-07
285800,-2.947454187,7.92E-07
1159,-5.161129912,8.09E-07
4942,-1.521882504,8.17E-07
5138,-2.995600723,8.32E-07
9764,-2.756683727,8.57E-07
2992,-3.543639887,8.74E-07
1573,-2.647174521,8.82E-07
9252,-2.395894075,8.93E-07
2036,-1.624605376,8.94E-07
55179,-3.485944914,9.55E-07
8567,-4.329739927,9.81E-07
57478,-1.480404639,9.84E-07
6558,-1.997530255,9.90E-07
8969,2.825435233,9.97E-07
5532,-2.248475205,9.97E-07
11165,-1.661921081,1.01E-06
83988,-2.940116774,1.01E-06
2903,-4.299897741,1.05E-06
3131,-3.291779026,1.05E-06
80034,-1.754073432,1.06E-06
400961,-3.772254711,1.07E-06
23261,-2.072719502,1.07E-06
5775,-2.02386053,1.08E-06
4130,-2.305550498,1.09E-06
55356,-3.066878473,1.09E-06
10085,-3.527267419,1.10E-06
84440,-3.042813307,1.13E-06
4744,-3.85444939,1.14E-06
222223,-2.714147711,1.15E-06
5864,-3.21553276,1.15E-06
283848,-3.310666669,1.15E-06
815,-5.844550923,1.22E-06
